arm,kind,objective_status,aggregation,relative_token,relative_coordinate,mean,sem,sem_between_events,sem_between_rollouts,n_units,n_rollouts,n_events
L17_SV28,event,all,event_weighted,-20,generated_local_index,-0.018741608021900884,0.14169510190629375,0.14169510190629375,,42,20,42
L17_SV28,event,all,event_weighted,-19,generated_local_index,0.02114126442934042,0.15178052169168327,0.15178052169168327,,42,20,42
L17_SV28,event,all,event_weighted,-18,generated_local_index,-0.015335150469708998,0.1833922906269801,0.1833922906269801,,43,20,43
L17_SV28,event,all,event_weighted,-17,generated_local_index,0.026898104712294996,0.18007658435191098,0.18007658435191098,,43,20,43
L17_SV28,event,all,event_weighted,-16,generated_local_index,0.2977499800048022,0.1675521837757654,0.1675521837757654,,47,20,47
L17_SV28,event,all,event_weighted,-15,generated_local_index,0.11579958266971038,0.15710346816459908,0.15710346816459908,,49,20,49
L17_SV28,event,all,event_weighted,-14,generated_local_index,0.20537419952548147,0.14378382170212897,0.14378382170212897,,52,20,52
L17_SV28,event,all,event_weighted,-13,generated_local_index,0.3932141209742382,0.1267066749433458,0.1267066749433458,,52,20,52
L17_SV28,event,all,event_weighted,-12,generated_local_index,0.5392725543232455,0.12852884887348473,0.12852884887348473,,53,20,53
L17_SV28,event,all,event_weighted,-11,generated_local_index,0.4128999777511266,0.14493776667152225,0.14493776667152225,,53,20,53
L17_SV28,event,all,event_weighted,-10,generated_local_index,0.29877431027799023,0.1530703229065181,0.1530703229065181,,54,20,54
L17_SV28,event,all,event_weighted,-9,generated_local_index,0.10381333041675453,0.1410438025173189,0.1410438025173189,,54,20,54
L17_SV28,event,all,event_weighted,-8,generated_local_index,0.2608512150529884,0.15589723617104528,0.15589723617104528,,55,20,55
L17_SV28,event,all,event_weighted,-7,generated_local_index,0.032035942517610425,0.12526274979579777,0.12526274979579777,,57,20,57
L17_SV28,event,all,event_weighted,-6,generated_local_index,0.20205228262735297,0.1276425232815038,0.1276425232815038,,57,20,57
L17_SV28,event,all,event_weighted,-5,generated_local_index,0.14891795523045126,0.13239841382964765,0.13239841382964765,,58,20,58
L17_SV28,event,all,event_weighted,-4,generated_local_index,0.20264905387269996,0.16687469207992786,0.16687469207992786,,58,20,58
L17_SV28,event,all,event_weighted,-3,generated_local_index,0.11764655188516257,0.11550844525197188,0.11550844525197188,,58,20,58
L17_SV28,event,all,event_weighted,-2,generated_local_index,0.5352241125101195,0.10807190303031232,0.10807190303031232,,58,20,58
L17_SV28,event,all,event_weighted,-1,generated_local_index,0.6260850548577351,0.13255176630279294,0.13255176630279294,,58,20,58
L17_SV28,event,all,event_weighted,0,generated_local_index,-0.07985211375378413,0.08347573756254377,0.08347573756254377,,58,20,58
L17_SV28,event,all,event_weighted,1,generated_local_index,0.5019143870098329,0.13027735098903426,0.13027735098903426,,46,19,46
L17_SV28,event,all,event_weighted,2,generated_local_index,-0.027128341621106594,0.13593928645770023,0.13593928645770023,,46,19,46
L17_SV28,event,all,event_weighted,3,generated_local_index,0.04784850594489923,0.13688404268488527,0.13688404268488527,,45,19,45
L17_SV28,event,all,event_weighted,4,generated_local_index,0.09891853473462558,0.15831290477161478,0.15831290477161478,,41,18,41
L17_SV28,event,all,event_weighted,5,generated_local_index,0.3612126790673189,0.1989936255622986,0.1989936255622986,,39,18,39
L17_SV28,event,all,event_weighted,6,generated_local_index,0.195077899826429,0.1616957432936292,0.1616957432936292,,38,18,38
L17_SV28,event,all,event_weighted,7,generated_local_index,0.08874198867345665,0.13074060623620196,0.13074060623620196,,36,18,36
L17_SV28,event,all,event_weighted,8,generated_local_index,0.12536250334926513,0.1273842160100371,0.1273842160100371,,36,18,36
L17_SV28,event,all,event_weighted,9,generated_local_index,0.28933847761843046,0.14888474242042574,0.14888474242042574,,34,18,34
L17_SV28,event,all,event_weighted,10,generated_local_index,0.32830739466568215,0.17969935794595288,0.17969935794595288,,32,18,32
L17_SV28,event,all,event_weighted,11,generated_local_index,0.2018606139802978,0.22997709031499677,0.22997709031499677,,31,18,31
L17_SV28,event,all,event_weighted,12,generated_local_index,0.41436496097646563,0.20625268038060685,0.20625268038060685,,31,18,31
L17_SV28,event,all,event_weighted,13,generated_local_index,0.15664898228803673,0.1848766244917783,0.1848766244917783,,31,18,31
L17_SV28,event,all,event_weighted,14,generated_local_index,-0.037399974016650156,0.19293591792992373,0.19293591792992373,,31,18,31
L17_SV28,event,all,event_weighted,15,generated_local_index,0.011808048220999975,0.13173523403019796,0.13173523403019796,,30,17,30
L17_SV28,event,all,event_weighted,16,generated_local_index,0.1505149609756067,0.18592340513949585,0.18592340513949585,,29,17,29
L17_SV28,event,all,event_weighted,17,generated_local_index,0.2774141357921178,0.21331516195016392,0.21331516195016392,,28,16,28
