comparison,metric,objective_status,arm,event_metric_event_weighted_mean,control_metric_event_weighted_mean,event_metric_rollout_weighted_mean,control_metric_rollout_weighted_mean,n_events,n_rollouts,event_weighted_mean,rollout_weighted_mean,rollout_sd,rollout_se,standardized_rollout_effect,bootstrap_ci_low,bootstrap_ci_high,permutation_p_two_sided,permutation_p_directional,event_consistency,rollout_consistency,permutation_p_holm
event_minus_control,delta,all,L17_SV28,-0.2075144430652589,-0.07963243492641854,-0.21003922895957147,-0.10062972503425449,45,19,-0.12788200813884035,-0.10940950392531704,0.5822171560930025,0.13356977613710758,-0.1879187220443915,-0.36418662642128935,0.1448526360543128,0.42907854607269635,0.21258937053147342,0.5111111111111111,0.5789473684210527,0.767861606919654
event_minus_control,delta,all,L18_SV30,0.1582911656747104,0.025749147492855614,0.16960245542964544,0.0356514012229507,45,19,0.13254201818185482,0.1339510542066947,0.6605391627895151,0.15153807678160305,0.2027904804932498,-0.14565482670784433,0.4278207349984585,0.383930803459827,0.19549022548872558,0.5555555555555556,0.42105263157894735,0.767861606919654
event_minus_control,delta,all,L22_SV32,0.2960705514303747,0.12818612139983493,0.41574597709944494,0.12138971745836849,45,19,0.16788443003053977,0.2943562596410765,0.7837264712051313,0.17979918354531088,0.37558545035291035,-0.013851389375599554,0.6651117266301318,0.12644367781610918,0.06304684765761712,0.5333333333333333,0.631578947368421,0.3793310334483275
event_minus_control,delta,correct,L17_SV28,-0.619795920244423,0.05973060956874069,-0.5901418888110446,0.024917293889957337,24,14,-0.6795265298131636,-0.615059182701002,0.5702921068313234,0.15241697672459248,-1.078498501615979,-0.9072888094971293,-0.3303605398329439,0.0015499225038748063,0.0008499575021248938,0.7916666666666666,0.8571428571428571,0.004649767511624419
event_minus_control,delta,correct,L18_SV30,0.0067150487263006875,0.05176108271082747,0.016619879139118665,0.04805490437035583,24,14,-0.04504603398452678,-0.03143502523123716,0.6455566553973227,0.17253227344631944,-0.04869444837787282,-0.33550720795384953,0.30994180919272907,0.8553072346382681,0.4307784610769462,0.5416666666666666,0.7142857142857143,1.0
event_minus_control,delta,correct,L22_SV32,0.18875795812557752,0.1738353096366542,0.13049824625735326,0.11932310163876673,24,14,0.014922648488923307,0.011175144618586581,0.3944733992721122,0.10542745059088036,0.028329272998400178,-0.18724141760957214,0.2087350493103555,0.9165541722913855,0.4577271136443178,0.4166666666666667,0.5714285714285714,1.0
event_minus_control,delta,incorrect,L17_SV28,0.38677125702461035,-0.24955674594423527,0.5208888839339829,-0.15987742153050327,17,13,0.6363280029688455,0.680766305464486,0.7252027170635338,0.20113504472910576,0.9387255307330091,0.28848775164817964,1.0477718387539605,0.0074496275186240685,0.003649817509124544,0.8823529411764706,0.9230769230769231,0.022348882555872206
event_minus_control,delta,incorrect,L18_SV30,0.47063876407349786,-0.014701797254948626,0.3517389525273398,0.007987705810726803,17,13,0.48534056132844644,0.3437512467166129,0.6580651474526814,0.18251443321049338,0.5223665894588811,-0.0028997390101921346,0.6834637084438334,0.08429578521073947,0.04259787010649468,0.7647058823529411,0.6923076923076923,0.16859157042147893
event_minus_control,delta,incorrect,L22_SV32,0.2803092304649062,0.07127683204413318,0.3198212049693015,0.05418211958695055,17,13,0.209032398420773,0.2656390853823509,0.8009858005332121,0.2221534903646975,0.33164019287922003,-0.11952960645240793,0.7172244009865189,0.28313584320783963,0.14359282035898205,0.6470588235294118,0.6923076923076923,0.28313584320783963
event_minus_control,delta,ambiguous,L17_SV28,-0.25953980537221866,-0.19363238007165295,-0.25953980537221866,-0.19363238007165295,4,4,-0.06590742530056574,-0.06590742530056574,0.7465735774867001,0.37328678874335003,-0.08827987928857536,-0.7048701854831843,0.5730553348820528,0.8773561321933904,0.43732813359332035,0.5,0.5,1.0
event_minus_control,delta,ambiguous,L18_SV30,-0.2597294258296778,0.04159405136319254,-0.2597294258296778,0.04159405136319254,4,4,-0.30132347719287034,-0.30132347719287034,0.5053987694779223,0.25269938473896114,-0.5962093605889424,-0.709842433041735,0.10719547865599435,0.37563121843907804,0.18999050047497626,0.75,0.75,1.0
event_minus_control,delta,ambiguous,L22_SV32,1.0069317253623993,0.09615547174065169,1.0069317253623993,0.09615547174065169,4,4,0.9107762536217477,0.9107762536217477,1.1453875909597293,0.5726937954798647,0.7951686056408217,-0.019707524859694278,1.8412600321031898,0.37643117844107793,0.18844057797110145,0.75,0.75,1.0
correct_minus_incorrect_paired_rollouts,delta,correct_minus_incorrect,L17_SV28,,,,,9,9,-1.5165862029711668,-1.5165862029711668,0.8110868306499223,0.27036227688330744,-1.8698197845919027,-2.0264802544793343,-1.0333116499096988,0.003649817509124544,0.002199890005499725,1.0,1.0,
correct_minus_incorrect_paired_rollouts,delta,correct_minus_incorrect,L18_SV30,,,,,9,9,0.07094195906087983,0.07094195906087983,0.6150280417533208,0.20500934725110695,0.11534751953526967,-0.2777978856001475,0.47496949726074206,0.7682615869206539,0.38503074846257684,0.4444444444444444,0.4444444444444444,
correct_minus_incorrect_paired_rollouts,delta,correct_minus_incorrect,L22_SV32,,,,,9,9,0.07977556325542688,0.07977556325542688,0.4872092741373003,0.1624030913791001,0.16373982904304352,-0.20186345010822468,0.39231367382887533,0.6573171341432928,0.32758362081895903,0.5555555555555556,0.5555555555555556,
event_minus_control,peak_response,all,L17_SV28,1.3529669483566336,1.4261292615920371,1.4395540425491768,1.4991678397826635,33,18,-0.07316231323540334,-0.059613797233486525,0.5313011441673169,0.12522888063096044,-0.11220340458125007,-0.30595268481925825,0.1652229942885947,0.6373181340932953,0.31703414829258536,0.45454545454545453,0.4444444444444444,1.0
event_minus_control,peak_response,all,L18_SV30,1.5531448459430677,1.2013451877443706,1.5045960137685004,1.2144433018049918,33,18,0.35179965819869713,0.29015271196350834,0.5656498213475324,0.13332494148393312,0.5129546603095981,0.02866556912754922,0.5386323342499768,0.04359782010899455,0.021398930053497325,0.7272727272727273,0.8333333333333334,0.13079346032698366
event_minus_control,peak_response,all,L22_SV32,1.3449752741109153,1.4103853461830667,1.386085751856268,1.424502950111521,33,18,-0.06541007207215152,-0.03841719825525309,0.6112705278545584,0.14407784512847954,-0.06284811144108328,-0.3139710851517352,0.23284412480619046,0.7942602869856508,0.39468026598670064,0.5151515151515151,0.5,1.0
event_minus_control,peak_response,correct,L17_SV28,1.1932991604989875,1.3620497186829439,1.2377887006063095,1.378156479431699,14,11,-0.1687505581839563,-0.1403677788253893,0.5895315128500169,0.17775043911037175,-0.23810055232976216,-0.48362464600969546,0.17849208756425225,0.44567771611419427,0.2207889605519724,0.42857142857142855,0.45454545454545453,0.8913554322283885
event_minus_control,peak_response,correct,L18_SV30,1.5461470525004304,1.0770867310324534,1.4854256589000905,1.076363941895211,14,11,0.46906032146797694,0.4090617170048793,0.5973570259009642,0.18010992007237367,0.6847859810268603,0.09311425568743517,0.763434881259562,0.03389830508474576,0.016599170041497927,0.7857142857142857,0.8181818181818182,0.1016949152542373
event_minus_control,peak_response,correct,L22_SV32,1.3698735071737447,1.4807706623288903,1.3213720272443048,1.4597518878728364,14,11,-0.11089715515514573,-0.13837986062853136,0.5858069024399085,0.1766274268175916,-0.23622094593316306,-0.48117115878557093,0.17767530156164243,0.46447677616119193,0.23233838308084595,0.5714285714285714,0.6363636363636364,0.8913554322283885
event_minus_control,peak_response,incorrect,L17_SV28,1.515947779237203,1.528391878401146,1.5492933346249036,1.5855511395432995,15,12,-0.012444099163942911,-0.036257804918395996,0.8960002926650972,0.25865300508208866,-0.040466286914426566,-0.526899159956868,0.44088684219567226,0.8943552822358882,0.44777761111944403,0.4,0.3333333333333333,1.0
