arm,rank_metric,rank_score,effect_direction,rollout_weighted_effect,event_weighted_effect,bootstrap_ci_low,bootstrap_ci_high,standardized_rollout_effect,event_consistency,rollout_consistency,permutation_p_two_sided,permutation_p_holm,correct_rollout_weighted_effect,incorrect_rollout_weighted_effect,shared_status_effect_oriented,status_preservation_ratio,correct_n_events,incorrect_n_events,n_events,n_rollouts,rank
L22_SV32,delta,0.06605722227350462,increase,0.2943562596410765,0.16788443003053977,-0.013851389375599554,0.6651117266301318,0.37558545035291035,0.5333333333333333,0.631578947368421,0.12644367781610918,0.3793310334483275,0.011175144618586581,0.2656390853823509,0.011175144618586581,0.03796469160266203,24,17,45,19,1
L17_SV28,delta,0.027198762401161928,decrease,-0.10940950392531704,-0.12788200813884035,-0.36418662642128935,0.1448526360543128,-0.1879187220443915,0.5111111111111111,0.5789473684210527,0.42907854607269635,0.767861606919654,-0.615059182701002,0.680766305464486,-0.680766305464486,0.0,24,17,45,19,2
L18_SV30,delta,0.021346366367710503,increase,0.1339510542066947,0.13254201818185482,-0.14565482670784433,0.4278207349984585,0.2027904804932498,0.5555555555555556,0.42105263157894735,0.383930803459827,0.767861606919654,-0.03143502523123716,0.3437512467166129,-0.03143502523123716,0.0,24,17,45,19,3
