layer,alpha,set,K,within_acc,cross_acc,n_within,n_cross
17,0.1,topJbar,56,0.4729,0.4375,480,480
17,0.2,gnotj,56,0.8375,0.4792,240,240
17,0.2,jpriv,56,0.9792,0.775,240,240
17,0.2,pairH,56,0.7083,0.5444,360,360
17,0.2,pairL,56,0.9417,0.85,360,360
17,0.2,rand,56,1.0,0.8396,480,480
17,0.2,shared,56,0.4833,0.3458,240,240
17,0.2,topG,56,0.5875,0.525,480,480
17,0.2,topG_R,56,0.9958,0.7812,480,480
17,0.2,topJbar,56,0.4521,0.4333,480,480
17,0.5,gnotj,56,0.5583,0.6458,240,240
17,0.5,jpriv,56,0.675,0.8125,240,240
17,0.5,pairH,56,0.3444,0.6611,360,360
17,0.5,pairL,56,0.6889,0.8861,360,360
17,0.5,rand,56,0.9771,0.8479,480,480
17,0.5,shared,56,0.3,0.4042,240,240
17,0.5,topG,56,0.425,0.4833,480,480
17,0.5,topG_R,56,0.8417,0.8417,480,480
17,0.5,topJbar,56,0.3729,0.4521,480,480
17,1.0,gnotj,56,0.225,0.8083,240,240
17,1.0,jpriv,56,0.25,0.8917,240,240
17,1.0,pairH,56,0.0917,0.675,360,360
17,1.0,pairL,56,0.3306,0.9639,360,360
17,1.0,rand,56,0.8292,0.9354,480,480
17,1.0,shared,56,0.0708,0.4625,240,240
17,1.0,topG,56,0.1479,0.5458,480,480
17,1.0,topG_R,56,0.5521,0.9146,480,480
17,1.0,topJbar,56,0.25,0.4625,480,480
25,0.05,gnotj,56,0.9167,0.8875,240,240
25,0.05,jpriv,56,0.975,0.8625,240,240
25,0.05,pairH,56,0.8028,0.7806,360,360
25,0.05,pairL,56,0.95,0.8306,360,360
25,0.05,rand,56,1.0,0.9979,480,480
25,0.05,shared,56,0.65,0.6,240,240
25,0.05,topG,56,0.3729,0.3583,480,480
25,0.05,topG_R,56,0.9375,0.9396,480,480
25,0.05,topJbar,56,0.7458,0.7042,480,480
25,0.1,gnotj,56,0.9583,0.8833,240,240
25,0.1,jpriv,56,0.8958,0.9083,240,240
25,0.1,pairH,56,0.8278,0.7806,360,360
25,0.1,pairL,56,0.775,0.8,360,360
25,0.1,rand,56,1.0,0.9979,480,480
25,0.1,shared,56,0.6875,0.6083,240,240
25,0.1,topG,56,0.375,0.3625,480,480
25,0.1,topG_R,56,0.9917,0.9354,480,480
25,0.1,topJbar,56,0.7417,0.7083,480,480
25,0.2,gnotj,56,0.9625,0.875,240,240
25,0.2,jpriv,56,0.8333,0.925,240,240
25,0.2,pairH,56,0.825,0.7944,360,360
25,0.2,pairL,56,0.4333,0.8611,360,360
25,0.2,rand,56,1.0,1.0,480,480
25,0.2,shared,56,0.6542,0.6083,240,240
25,0.2,topG,56,0.3729,0.3604,480,480
25,0.2,topG_R,56,0.9958,0.9521,480,480
25,0.2,topJbar,56,0.7354,0.7146,480,480
25,0.5,gnotj,56,0.9458,0.9,240,240
25,0.5,jpriv,56,0.6458,0.9542,240,240
25,0.5,pairH,56,0.8111,0.7972,360,360
25,0.5,pairL,56,0.2972,0.975,360,360
25,0.5,rand,56,1.0,1.0,480,480
25,0.5,shared,56,0.5542,0.6417,240,240
25,0.5,topG,56,0.3292,0.3646,480,480
25,0.5,topG_R,56,0.8875,0.9625,480,480
25,0.5,topJbar,56,0.6667,0.7354,480,480
25,1.0,gnotj,56,0.8083,0.9417,240,240
25,1.0,jpriv,56,0.4833,1.0,240,240
25,1.0,pairH,56,0.7028,0.8194,360,360
25,1.0,pairL,56,0.2056,0.9972,360,360
25,1.0,rand,56,0.9917,1.0,480,480
25,1.0,shared,56,0.4542,0.6792,240,240
25,1.0,topG,56,0.25,0.375,480,480
25,1.0,topG_R,56,0.6208,0.9958,480,480
25,1.0,topJbar,56,0.5396,0.7479,480,480
