layer,set,dir,name,gamma_J,fSf_J,inv_J,gamma_R,g0_med,g0sq_over_fSf,snr_a0,alpha_star,corr_pred,template_stability,flip_frac
2,gnotj,16,L02:gnotj:01,19616.781461775907,87220.74311252861,4.446004421166231,331.9406616985948,5.869095259282242,0.006551387756457674,1.194488763809204e+31,0.5,-0.04857159597835922,0.005697568412870169,nan
2,gnotj,17,L02:gnotj:02,2653.920567912643,51794.95386106028,19.50904086813513,81.05781358326263,5.885987724126617,0.01039203930839516,1.1043072700500488e+31,1.0,0.0803182815211408,0.039751213043928146,nan
2,gnotj,18,L02:gnotj:03,5364.545198612865,36704.64768178654,6.84080486196923,762.0143977263629,5.357847029442219,0.0037577051063553512,1.1471409797668455e+31,0.5,0.3106537213513184,0.05772215127944946,nan
2,gnotj,19,L02:gnotj:04,34526.989842247975,48206.03438560313,1.3961436679588826,425.4805319371914,4.630234259037177,0.0033657525619965483,9.401751041412353e+30,0.2,0.3521321132951618,0.007092753890901804,nan
2,jpriv,48,L02:jpriv:01,13167.596269985312,48807.68421929199,3.706369549086831,243.92766747492237,4.611090035389502,0.003291094762610654,9.669899463653564e+30,0.5,0.3110508455368851,0.022443996742367744,nan
2,jpriv,49,L02:jpriv:02,11702.524092133599,89749.08282617663,7.668551977989308,315.5840569193588,5.860621860389637,0.006507187334107222,1.1368546485900878e+31,0.5,-0.056600595938058565,0.0040696472860872746,nan
2,jpriv,50,L02:jpriv:03,7999.6941512077265,38300.01542725872,4.78708655816786,285.62644554467937,5.737826254828088,0.014207256643184223,1.1221696853637693e+31,0.5,0.22918014255822497,0.00309757050126791,nan
2,jpriv,51,L02:jpriv:04,1492.4732051343951,15135.052870379684,10.134130842352613,53.20377430868593,5.859998681088273,0.023414461818337486,1.1129838466644287e+31,0.5,0.13760735714674657,0.019947711378335953,nan
2,pairH,20,L02:pairH:01,2318.869757835183,12489.783797430351,5.383829740978803,102.09203781859114,5.154320184144064,0.03555421513820427,1.016506004333496e+31,1.0,0.11869470457821132,0.0060875597409904,nan
2,pairH,21,L02:pairH:02,1543.220566576005,15134.786761540632,9.800922931041478,56.885706914792316,5.681458680629995,0.026898842184445923,1.1162426471710204e+31,0.5,0.13452971354300375,0.021446725353598595,nan
2,pairH,22,L02:pairH:03,1526.288706638119,21681.1429471217,14.195837926966945,248.6835286136878,5.075419078996233,0.0031984991658139702,9.38462209701538e+30,0.2,0.0016891251503493249,0.0034751170314848423,nan
2,pairH,23,L02:pairH:04,1471.1903807688632,22903.256251379367,15.55726524949712,110.48007822807422,5.2968088662014825,0.002077104067233278,1.0260354995727538e+31,0.5,0.072177372166818,0.009489483200013638,nan
2,pairH,24,L02:pairH:05,1390.8919653047574,20456.046316656648,14.696576190220163,72.57942875606885,5.9791932708821465,0.024096746113719564,1.1875812530517576e+31,0.5,0.034716948861211856,0.007602699566632509,nan
2,pairH,25,L02:pairH:06,1307.0314008739265,10305.230975179538,7.8784278177835585,106.03254118561334,5.703272274700204,0.004894647491429132,1.1183552742004393e+31,0.5,0.1540768101083381,0.0038601732812821865,nan
2,pairL,26,L02:pairL:01,14.783151186155582,15394.834189348767,975.3967384442575,7.635705907533,5.454412123297997,0.003948326697082304,1.0125552177429198e+31,0.5,0.5448081303873127,0.036489445716142654,nan
2,pairL,27,L02:pairL:02,127.66852483075591,15401.285800279175,119.6973838049146,12.70386099135433,5.3217378598442675,0.0115447275754965,1.0371100425720214e+31,0.5,0.26863722759147834,0.013705989345908165,nan
2,pairL,28,L02:pairL:03,52.8932402366204,18008.351204077815,334.14860797033987,17.953920884624175,9.934198391534341,0.010074768447486518,1.5778600692749022e+31,1.0,-0.06882793393880289,0.2370353788137436,nan
2,pairL,29,L02:pairL:04,105.48977174330132,17403.188460526806,163.4259157065152,12.73218842071373,5.892935558462591,0.004537833243354797,1.0918100357055663e+31,0.5,-0.073248185219949,0.007632444147020578,nan
2,pairL,30,L02:pairL:05,30.952590626855965,16931.036656208216,529.8799353683008,10.088442154591432,5.6031114261801696,0.0035415868508283373,1.080937910079956e+31,0.5,0.393054711848476,0.01591893658041954,nan
2,pairL,31,L02:pairL:06,182.83813080999883,9955.566918503497,54.15398249883653,25.29385711777727,5.9529711589677845,0.009577296819521321,1.203727340698242e+31,0.5,0.09715542238855626,0.010702632367610931,nan
2,rand,32,L02:rand:01,198.74575837387218,878.7107902297793,4.3991461815427435,36.88299453710334,4.932427324825182,0.048744981453354576,8.657022953033447e+30,0.5,0.5254118267206355,0.02934049628674984,nan
2,rand,33,L02:rand:02,283.20459312192355,931.0167409506022,3.2758680312784274,40.9845140312884,4.635551183768435,0.0845438545601151,9.122076988220214e+30,0.5,0.5347072324636117,0.0233725905418396,nan
2,rand,34,L02:rand:03,265.2330860278166,947.3348117363485,3.5582910669388736,26.88854836466429,4.7402603376384995,0.034090456002242274,9.153101921081543e+30,0.2,0.30555376216914637,0.02886803261935711,nan
2,rand,35,L02:rand:04,276.92034761886407,875.1105821045642,3.148781978729669,42.542822550316096,4.606415551340017,0.03946392648356104,8.897605419158935e+30,0.5,0.493796444668975,0.017900826409459114,nan
2,rand,36,L02:rand:05,327.7899162850556,977.4469349534506,2.9728616558484107,42.59834293699795,4.614209244120735,0.11598091627244866,8.731639385223388e+30,0.5,0.3242324525551025,0.015732387080788612,nan
2,rand,37,L02:rand:06,308.58803669572103,934.3290884312163,3.017975430844967,41.522989466159174,5.000491840703832,0.03661807531175835,9.8656907081604e+30,0.5,0.42695604815490995,0.021802779287099838,nan
2,rand,38,L02:rand:07,221.2636041575793,880.5466522785227,3.9617221884615774,37.6535503310002,4.9677378336841445,0.05968098106174477,1.0190317630767822e+31,0.5,0.43525138930199675,0.015528734773397446,nan
2,rand,39,L02:rand:08,232.92427517317682,816.0434824500938,3.488494222525505,37.03659832296711,4.601726574211228,0.05286553317762786,8.835762977600097e+30,0.2,0.4447026010298756,0.017150159925222397,nan
2,shared,52,L02:shared:01,11702.524092133599,89749.08282617663,7.668551977989308,315.5840569193588,5.860621860389637,0.006507187334107222,1.1368546485900878e+31,0.5,-0.056600595938058565,0.0040696472860872746,nan
2,shared,53,L02:shared:02,2471.3281722938927,43003.28458372037,17.39384158852211,293.406478413274,6.947861149143188,0.02043380805057233,1.3887764930725097e+31,0.2,-0.022348593737445296,0.006847655400633812,nan
2,shared,54,L02:shared:03,7999.6941512077265,38300.01542725872,4.78708655816786,285.62644554467937,5.737826254828088,0.014207256643184223,1.1221696853637693e+31,0.5,0.22918014255822497,0.00309757050126791,nan
2,shared,55,L02:shared:04,1537.2615676583612,21681.09297438355,14.094542456383332,250.5267649010994,5.088452991013703,0.0029777608276447174,1.0040486812591552e+31,0.2,0.10199731602929528,0.004607097711414099,nan
2,topG,0,L02:topG:01,11702.524092135647,89749.08282619246,7.668551977989319,315.5840569192863,5.860621860389637,0.006507187334106074,1.1368546485900878e+31,0.5,-0.056600595938058565,0.0040696472860872746,nan
2,topG,1,L02:topG:02,1822.6193167114584,74851.20967963927,41.045413916002396,131.75378352321314,4.891164271116416,0.00502342867035514,9.886457920074462e+30,0.5,-0.03518673425788594,0.012360166758298874,nan
