trajectory,sv_index_0,layer_from,layer_to,layer_delta,raw_same_rank_cosine,same_rank_abs_cosine,same_rank_axis_angle_deg,raw_sign_flip,forward_best_rank_0,forward_best_abs_cosine,forward_second_rank_0,forward_second_abs_cosine,forward_margin,backward_best_rank_0,backward_best_abs_cosine,backward_second_rank_0,backward_second_abs_cosine,backward_margin,same_rank_is_forward_best,same_rank_is_backward_best,same_rank_is_reciprocal_best,same_rank_fraction_of_forward_best,canonical_same_rank_cosine,canonical_angle_deg,sigma_from,sigma_to,sigma_change,rel_local_gap_from,rel_local_gap_to,min_rel_local_gap_pair,cumulative_path_angle_deg_at_to
SV_02,2,2,3,1,0.7595307206994468,0.7595307206994468,40.57715528847868,False,2,0.7595307206994467,6,0.09812390468364368,0.6614068160158031,2,0.7595307206994467,6,0.13003198063278912,0.6294987400666576,True,True,True,1.0000000000000002,0.759530720699447,40.577155288478664,174.7201690673828,125.57561492919922,-49.144554138183594,0.3186436336493352,0.3513909063895039,0.3186436336493352,40.57715528847868
SV_02,2,3,4,1,0.7876891904915353,0.7876891904915353,38.02991588163162,False,2,0.7876891904915347,1,0.15260331633250745,0.6350858741590273,2,0.7876891904915347,3,0.2460599847636084,0.5416292057279264,True,True,True,1.0000000000000007,0.7876891904915351,38.02991588163164,125.57561492919922,99.62339782714844,-25.95221710205078,0.3513909063895039,0.3810774417633302,0.3513909063895039,78.60707117011029
SV_02,2,4,5,1,0.7569864238029422,0.7569864238029422,40.8007568857165,False,2,0.7569864238029423,3,0.17145519560070374,0.5855312282022386,2,0.7569864238029423,4,0.22944426657746742,0.5275421572254749,True,True,True,0.9999999999999999,0.7569864238029418,40.800756885716545,99.62339782714844,69.60091400146484,-30.022483825683594,0.3810774417633302,0.3314817679048083,0.3314817679048083,119.4078280558268
SV_02,2,5,6,1,0.8769750698173551,0.8769750698173551,28.72040668636997,False,2,0.8769750698173546,3,0.09746881621311744,0.7795062536042372,2,0.8769750698173546,4,0.17079296764758184,0.7061821021697727,True,True,True,1.0000000000000004,0.8769750698173555,28.72040668636992,69.60091400146484,58.891849517822266,-10.709064483642578,0.3314817679048083,0.2644492586382626,0.2644492586382626,148.12823474219675
SV_02,2,6,7,1,0.8018337984450749,0.8018337984450749,36.694424250983246,False,2,0.8018337984450742,3,0.2645460582250308,0.5372877402200433,2,0.8018337984450742,3,0.39560800534893176,0.40622579309614243,True,True,True,1.0000000000000009,0.8018337984450742,36.69442425098331,58.891849517822266,49.951316833496094,-8.940532684326172,0.2644492586382626,0.18357435424109075,0.18357435424109075,184.82265899318
SV_02,2,7,8,1,0.9234322644699856,0.9234322644699856,22.566871261462975,False,2,0.9234322644699849,3,0.14740986932265146,0.7760223951473335,2,0.9234322644699849,3,0.23630296491111016,0.6871292995588748,True,True,True,1.0000000000000007,0.9234322644699856,22.566871261462975,49.951316833496094,47.76953887939453,-2.1817779541015625,0.18357435424109075,0.1883145040230791,0.18357435424109075,207.38953025464298
SV_02,2,8,9,1,0.8429553078963961,0.8429553078963961,32.5464786587268,False,2,0.8429553078963953,1,0.36016005035235743,0.48279525754403785,2,0.8429553078963953,3,0.2985081124731225,0.5444471954232728,True,True,True,1.0000000000000009,0.8429553078963961,32.5464786587268,47.76953887939453,43.51554489135742,-4.253993988037109,0.1883145040230791,0.1713558262799063,0.1713558262799063,239.9360089133698
SV_02,2,9,10,1,0.9489563341035682,0.9489563341035682,18.385414498432112,False,2,0.9489563341035687,1,0.20224940744685238,0.7467069266567163,2,0.9489563341035687,1,0.12817550759339036,0.8207808265101784,True,True,True,0.9999999999999994,0.9489563341035686,18.38541449843203,43.51554489135742,41.63362121582031,-1.8819236755371094,0.1713558262799063,0.14321572541113234,0.14321572541113234,258.3214234118019
SV_02,2,10,11,1,0.9607947964630794,0.9607947964630794,16.09676783874758,False,2,0.960794796463078,1,0.09734245839969259,0.8634523380633854,2,0.960794796463078,3,0.05914956554806502,0.9016452309150129,True,True,True,1.0000000000000016,0.9607947964630786,16.096767838747738,41.63362121582031,40.8612174987793,-0.7724037170410156,0.14321572541113234,0.13143574447816617,0.13143574447816617,274.4181912505495
SV_09,9,9,10,1,-0.9721729991434176,0.9721729991434176,13.548246860174595,True,9,0.9721729991434186,8,0.15062858459403777,0.8215444145493809,9,0.9721729991434186,8,0.1432336981312832,0.8289393010121354,True,True,True,0.999999999999999,0.9721729991434184,13.548246860174403,23.13475227355957,22.74365997314453,-0.39109230041503906,0.026398119656470754,0.036457286794583266,0.026398119656470754,13.548246860174595
SV_09,9,10,11,1,0.991365810596559,0.991365810596559,7.534620683406827,False,9,0.9913658105965597,7,0.03941362695446191,0.9519521836420978,9,0.9913658105965597,7,0.027759426164280815,0.9636063844322789,True,True,True,0.9999999999999993,0.99136581059656,7.53462068340639,22.74365997314453,22.612668991088867,-0.13099098205566406,0.036457286794583266,0.039087765722571645,0.036457286794583266,21.082867543581422
SV_09,9,11,12,1,0.9943057021322328,0.9943057021322328,6.117359730433907,False,9,0.9943057021322319,13,0.01934383218604652,0.9749618699461854,9,0.9943057021322319,13,0.02171930208868422,0.9725864000435477,True,True,True,1.0000000000000009,0.9943057021322328,6.117359730433907,22.612668991088867,22.490596771240234,-0.12207221984863281,0.039087765722571645,0.04422565311600256,0.039087765722571645,27.20022727401533
SV_09,9,12,13,1,0.9854931227971264,0.9854931227971264,9.771270160532174,False,9,0.9854931227971259,7,0.08904565451627944,0.8964474682808464,9,0.9854931227971259,7,0.07197518141517728,0.9135179413819485,True,True,True,1.0000000000000007,0.9854931227971266,9.771270160532097,22.490596771240234,22.300392150878906,-0.19020462036132812,0.04422565311600256,0.049708907794401354,0.04422565311600256,36.9714974345475
SV_09,9,13,14,1,0.9737696688798299,0.9737696688798299,13.15204912841367,False,9,0.9737696688798305,7,0.0990741811440473,0.8746954877357832,9,0.9737696688798305,7,0.07263929232335128,0.9011303765564792,True,True,True,0.9999999999999993,0.97376966887983,13.152049128413644,22.300392150878906,21.894201278686523,-0.4061908721923828,0.049708907794401354,0.03445679787038215,0.03445679787038215,50.123546562961174
SV_09,9,14,15,1,-0.8900190396021197,0.8900190396021197,27.12436051254721,True,9,0.8900190396021201,7,0.2220757669561033,0.6679432726460168,9,0.8900190396021201,11,0.19414848626848555,0.6958705533336346,True,True,True,0.9999999999999996,0.8900190396021198,27.124360512547195,21.894201278686523,21.295825958251953,-0.5983753204345703,0.03445679787038215,0.014140433094202261,0.014140433094202261,77.24790707550838
