trajectory,sv_index_0,layer_start,layer_end,n_steps,mean_adjacent_abs_cosine,min_adjacent_abs_cosine,max_adjacent_abs_cosine,adjacent_reciprocal_same_rank_rate,raw_adjacent_sign_flips,endpoint_abs_cosine,endpoint_axis_displacement_deg,cumulative_path_angle_deg,path_over_displacement,sigma_start,sigma_end,min_relative_local_gap,max_relative_local_gap,greedy_trace_rank_drift_layers,all_pair_reciprocal_same_rank_rate
SV_02,2,2,11,9,0.8510171006877092,0.7569864238029422,0.9607947964630794,1.0,0,0.031223754472951375,88.21071983277966,274.4181912505495,3.1109392573914127,174.7201690673828,40.8612174987793,0.13143574447816617,0.3810774417633302,0,0.5555555555555556
SV_09,9,9,15,6,0.967854390525214,0.8900190396021197,0.9943057021322328,1.0,2,0.6839433099036634,46.847438974456416,77.24790707550838,1.6489248668988679,23.13475227355957,21.295825958251953,0.014140433094202261,0.049708907794401354,0,1.0
