trajectory,start_sv_index_0,layer,matched_rank_0,rank_offset_from_start,step_raw_cosine,step_abs_cosine,step_axis_angle_deg,canonical_sign_multiplier,reciprocal_to_previous,best_margin,sigma
SV_02,2,2,2,0,1.0,1.0,0.0,1,True,nan,174.7201690673828
SV_02,2,3,2,0,0.7595307206994468,0.7595307206994468,40.57715528847868,1,True,0.6614068160158031,125.57561492919922
SV_02,2,4,2,0,0.7876891904915353,0.7876891904915353,38.02991588163162,1,True,0.6350858741590273,99.62339782714844
SV_02,2,5,2,0,0.7569864238029422,0.7569864238029422,40.8007568857165,1,True,0.5855312282022386,69.60091400146484
SV_02,2,6,2,0,0.8769750698173551,0.8769750698173551,28.72040668636997,1,True,0.7795062536042372,58.891849517822266
SV_02,2,7,2,0,0.8018337984450749,0.8018337984450749,36.694424250983246,1,True,0.5372877402200433,49.951316833496094
SV_02,2,8,2,0,0.9234322644699856,0.9234322644699856,22.566871261462975,1,True,0.7760223951473335,47.76953887939453
SV_02,2,9,2,0,0.8429553078963961,0.8429553078963961,32.5464786587268,1,True,0.48279525754403785,43.51554489135742
SV_02,2,10,2,0,0.9489563341035682,0.9489563341035682,18.385414498432112,1,True,0.7467069266567163,41.63362121582031
SV_02,2,11,2,0,0.9607947964630794,0.9607947964630794,16.09676783874758,1,True,0.8634523380633854,40.8612174987793
SV_09,9,9,9,0,1.0,1.0,0.0,1,True,nan,23.13475227355957
SV_09,9,10,9,0,-0.9721729991434176,0.9721729991434176,13.548246860174595,-1,True,0.8215444145493809,22.74365997314453
SV_09,9,11,9,0,0.991365810596559,0.991365810596559,7.534620683406827,-1,True,0.9519521836420978,22.612668991088867
SV_09,9,12,9,0,0.9943057021322328,0.9943057021322328,6.117359730433907,-1,True,0.9749618699461854,22.490596771240234
SV_09,9,13,9,0,0.9854931227971264,0.9854931227971264,9.771270160532174,-1,True,0.8964474682808464,22.300392150878906
SV_09,9,14,9,0,0.9737696688798299,0.9737696688798299,13.15204912841367,-1,True,0.8746954877357832,21.894201278686523
SV_09,9,15,9,0,-0.8900190396021197,0.8900190396021197,27.12436051254721,1,True,0.6679432726460168,21.295825958251953
