trajectory,sv_index_0,layer,canonical_sign_multiplier,sigma,gap_to_prev_sigma,gap_to_next_sigma,min_local_gap,relative_local_gap,raw_anchor_cosine,anchor_abs_cosine,canonical_anchor_cosine,anchor_axis_displacement_deg,cumulative_path_angle_deg,path_over_displacement
SV_02,2,2,1,174.7201690673828,123.38420104980469,55.67346954345703,55.67346954345703,0.3186436336493352,1.0000000000000002,1.0000000000000002,1.0000000000000002,0.0,0.0,1.0
SV_02,2,3,1,125.57561492919922,75.45951080322266,44.126129150390625,44.126129150390625,0.3513909063895039,0.7595307206994468,0.7595307206994468,0.759530720699447,40.57715528847868,40.57715528847868,1.0
SV_02,2,4,1,99.62339782714844,68.78688049316406,37.964229583740234,37.964229583740234,0.3810774417633302,0.6059906915059543,0.6059906915059543,0.6059906915059543,52.69983496804988,78.60707117011029,1.491599949369236
SV_02,2,5,1,69.60091400146484,66.40779876708984,23.071434020996094,23.071434020996094,0.3314817679048083,0.46372854523815266,0.46372854523815266,0.4637285452381529,62.37203332492977,119.4078280558268,1.9144450114968454
SV_02,2,6,1,58.891849517822266,61.77986526489258,15.573905944824219,15.573905944824219,0.2644492586382626,0.4247177973340902,0.4247177973340902,0.42471779733409043,64.86719778671973,148.12823474219675,2.2835614886469333
SV_02,2,7,1,49.951316833496094,50.89305877685547,9.169780731201172,9.169780731201172,0.18357435424109075,0.28303603764858465,0.28303603764858465,0.28303603764858454,73.55851119197135,184.82265899318,2.5125937977569173
SV_02,2,8,1,47.76953887939453,46.061302185058594,8.995697021484375,8.995697021484375,0.1883145040230791,0.20878686203773952,0.20878686203773952,0.20878686203773977,77.94873126207472,207.38953025464298,2.6605889139794963
SV_02,2,9,1,43.51554489135742,16.467761993408203,7.456642150878906,7.456642150878906,0.1713558262799063,0.07049935746705127,0.07049935746705127,0.07049935746705129,85.9573308458513,239.9360089133698,2.7913385228730636
SV_02,2,10,1,41.63362121582031,14.35137939453125,5.962589263916016,5.962589263916016,0.14321572541113234,0.03428438054955012,0.03428438054955012,0.03428438054955011,88.03526466523654,258.3214234118019,2.934294846435648
SV_02,2,11,1,40.8612174987793,13.693870544433594,5.370624542236328,5.370624542236328,0.13143574447816617,0.031223754472951375,0.031223754472951375,0.031223754472951403,88.21071983277966,274.4181912505495,3.1109392573914127
SV_09,9,9,1,23.13475227355957,0.6107139587402344,1.9228153228759766,0.6107139587402344,0.026398119656470754,0.9999999999999989,0.9999999999999989,0.9999999999999993,2.699869328381916e-06,0.0,0.0
SV_09,9,10,-1,22.74365997314453,0.8291721343994141,1.6487503051757812,0.8291721343994141,0.036457286794583266,-0.9721729991434176,0.9721729991434176,0.9721729991434184,13.548246860174595,13.548246860174595,1.0
SV_09,9,11,-1,22.612668991088867,0.8838787078857422,1.5949344635009766,0.8838787078857422,0.039087765722571645,-0.9594058371574246,0.9594058371574246,0.959405837157425,16.381347929215405,21.082867543581422,1.2870044415564281
SV_09,9,12,-1,22.490596771240234,0.9946613311767578,1.4656448364257812,0.9946613311767578,0.04422565311600256,-0.9473713905873584,0.9473713905873584,0.947371390587358,18.671186605039484,27.20022727401533,1.4568022830789875
SV_09,9,13,-1,22.300392150878906,1.1085281372070312,1.2045307159423828,1.1085281372070312,0.049708907794401354,-0.9138304383583579,0.9138304383583579,0.9138304383583584,23.959823974838216,36.9714974345475,1.5430621474253607
SV_09,9,14,-1,21.894201278686523,1.5974960327148438,0.7544040679931641,0.7544040679931641,0.03445679787038215,-0.8639761779390319,0.8639761779390319,0.8639761779390317,30.233997020478988,50.123546562961174,1.6578537905196593
SV_09,9,15,1,21.295825958251953,2.099641799926758,0.3011322021484375,0.3011322021484375,0.014140433094202261,0.6839433099036634,0.6839433099036634,0.6839433099036636,46.847438974456416,77.24790707550838,1.6489248668988679
