rank,metric,layer,sv_rank,n_events,n_rollouts,event_weighted_mean,rollout_weighted_mean,rollout_sd,rollout_se,standardized_rollout_effect,rollout_consistency,event_consistency,bootstrap_ci_low,bootstrap_ci_high,permutation_p_two_sided,permutation_p_directional,correct_n_events,correct_n_rollouts,correct_rollout_weighted_mean,correct_rollout_consistency,incorrect_n_events,incorrect_n_rollouts,incorrect_rollout_weighted_mean,incorrect_rollout_consistency,ambiguous_n_events,ambiguous_rollout_weighted_mean,status_preservation_ratio,rank_score,permutation_p_holm
1,delta,3,1,45,19,-0.44247147507137724,-0.4475890056867349,0.6004127880072475,0.1377441403859527,-0.7454688085046784,0.8421052631578947,0.7333333333333333,-0.705570821702611,-0.17502282641893438,0.0044995500449955,0.0021997800219978004,24,14,-0.4679785668849945,0.7857142857142857,17,13,-0.502767040561407,0.8461538461538461,4,-0.4157443344593048,1.0,0.6866160078332565,1.0
2,delta,11,25,45,19,-4.263751180966695,-4.165983967613756,6.532825987124294,1.498733068084797,-0.6377001279116565,0.7368421052631579,0.6,-7.111296609357782,-1.3820689652572626,0.0098990100989901,0.0047995200479952005,24,14,-7.38587703023638,0.8571428571428571,17,13,-4.5502494390194235,0.6923076923076923,4,9.874046564102173,1.0,0.5537922163443333,1.0
3,delta,2,1,45,19,-0.27877199947834014,-0.2590564246240415,0.43752575032074587,0.10037529109710208,-0.5920941211668793,0.8421052631578947,0.7111111111111111,-0.4400243611385425,-0.06404737927542445,0.020897910208979104,0.010498950104989501,24,14,-0.2833990078596842,0.7857142857142857,17,13,-0.3337289434977067,0.7692307692307693,4,-0.2975529357790947,1.0,0.5453498484431784,1.0
4,delta,17,32,45,19,8.678250895606148,6.897361173964384,10.836350766538471,2.486029363584248,0.6365022065604152,0.7368421052631579,0.6888888888888889,2.234178031536571,11.582115197181702,0.012398760123987601,0.006399360063993601,24,14,6.743248791921706,0.6428571428571429,17,13,8.4519518216451,0.8461538461538461,4,15.946396470069885,0.9776563270857253,0.5434890352093908,1.0
5,delta,4,24,45,19,1.841343993610806,1.9931722973522388,3.1656218509521254,0.7262434600928679,0.6296305721900269,0.8421052631578947,0.6888888888888889,0.611694704362175,3.3797898273196134,0.013798620137986202,0.007699230076992301,24,14,1.6905719325655983,0.7142857142857143,17,13,1.931737319017068,0.6923076923076923,4,0.7456139326095581,0.8481815319284642,0.513890641249407,1.0
6,delta,5,32,45,19,3.0182255182001327,3.6224156299181147,4.828247812923895,1.10767601531087,0.7502547032117742,0.7894736842105263,0.6666666666666666,1.520669640182403,5.768987781515246,0.0038996100389961006,0.0017998200179982,24,14,4.451895607724076,0.8571428571428571,17,13,2.3696781259316664,0.7692307692307693,4,-0.8726045489311218,0.6541706882998496,0.49716916276595646,1.0
7,delta,21,28,45,19,-38.050211376614044,-48.90137284262139,57.38821342567436,13.165759098571508,-0.8521152676403737,0.8421052631578947,0.7111111111111111,-72.84499851130603,-22.749296909466132,0.0016998300169983002,0.0007999200079992001,24,14,-49.95284879775274,0.8571428571428571,17,13,-24.23819798689622,0.6923076923076923,4,-57.002564430236816,0.49565475523359387,0.48796912980781804,1.0
8,delta,8,27,45,19,5.284916999604967,6.437619255300154,8.91133620244458,2.0444007346511284,0.7224078532166893,0.6842105263157895,0.7333333333333333,2.6740508138087757,10.494953332344691,0.0052994700529947,0.0026997300269973002,24,14,9.15954405211267,0.7857142857142857,17,13,4.67515693566738,0.6923076923076923,4,2.667660117149353,0.7262245172108118,0.4834313129497804,1.0
9,delta,19,28,45,19,-12.359032927619086,-10.246881903263562,18.501693277058532,4.244579541004422,-0.5538348166202358,0.7894736842105263,0.7111111111111111,-17.852299519170796,-1.9541571520922516,0.026097390260973904,0.013898610138986101,24,14,-13.562212251481554,0.9285714285714286,17,13,-9.828030170538486,0.6923076923076923,4,-13.910881757736206,0.9591239816483418,0.4803447481796089,1.0
10,delta,22,24,45,19,-18.278524038526747,-16.380511032907588,28.729491876803618,6.5909974626452446,-0.5701636180392499,0.631578947368421,0.5777777777777777,-29.151406435380906,-3.8998915408786994,0.0235976402359764,0.0100989901009899,24,14,-25.629016297204153,0.6428571428571429,17,13,-18.09443913973295,0.6153846153846154,4,9.412765502929688,1.0,0.4651334778741249,1.0
