layer,correct_direction_norm,incorrect_direction_norm,correct_vs_incorrect_direction_cosine,correct_direction_on_incorrect_mean_projection,correct_direction_on_incorrect_mean_cosine,incorrect_direction_on_correct_mean_projection,incorrect_direction_on_correct_mean_cosine
0,28.883554458618164,29.689477920532227,0.14763836562633514,4.823426380631925,0.052146727322550476,4.381448700973338,0.04522818880258888
1,35.769901275634766,35.42975997924805,0.23429617285728455,9.066378483407822,0.0835138251570918,7.921282288008076,0.067309333055326
2,42.694732666015625,40.15461349487305,0.18552158772945404,8.297057469848205,0.06166857493969468,7.320862205149278,0.050896579039717865
3,51.85254669189453,50.42674255371094,0.21911001205444336,11.472627988982499,0.07706818847130009,10.407986824791436,0.05931441322583258
4,66.8001708984375,58.43259811401367,0.2067045271396637,12.882011492652987,0.06874445983512052,13.509548429486545,0.06338852980169407
5,72.43659973144531,68.6988296508789,0.11473532766103745,9.802814105086057,0.04282290864037142,10.25364354408597,0.04126671628041619
6,85.7542953491211,80.24178314208984,0.09208117425441742,10.09519160440929,0.037716830817427126,10.97027491366151,0.035594819130813755
7,97.36212921142578,98.98687744140625,0.09446732699871063,12.32120514722817,0.039226839378936514,13.150275379722865,0.038873089083081507
8,119.32894134521484,113.95619201660156,0.07307630777359009,13.267905144998148,0.035447013859019785,14.265528065668354,0.03501095359896855
9,143.632568359375,140.2538299560547,0.06233969330787659,11.732708653637845,0.0296426983293675,17.339883369701365,0.03559126792793903
10,178.8006134033203,169.9283447265625,0.07649024575948715,18.061302267921263,0.038765627650325735,22.03586148235763,0.03691441572735516
11,203.97154235839844,206.62554931640625,0.11790559440851212,25.86111040404181,0.04544138417621025,32.597882369540436,0.04678669188060217
12,259.8905029296875,253.0646514892578,0.06973328441381454,22.37784288701119,0.033058960463470954,29.870198967026756,0.037634568761185046
13,313.4636535644531,323.9953308105469,0.04701850190758705,19.840439554042625,0.02323497965494775,32.67937267875451,0.03508504875676544
14,409.6834411621094,398.6555480957031,0.0035808314569294453,13.932847918580231,0.014183232150877946,18.27091201211843,0.016955795726989072
15,493.09320068359375,520.3756713867188,0.0030788416042923927,12.487037151808165,0.010862398251527327,18.465009686306928,0.013911100907057735
16,658.3612670898438,728.6109008789062,-0.032444391399621964,0.35636799474345665,0.0038867759749378517,-6.433244683002201,-0.0008679156337449376
17,917.2636108398438,1016.7357177734375,-0.022364644333720207,11.085382702603617,0.007700916273064965,-2.4212535766731853,-0.001261086769083553
18,1295.5697021484375,1339.6474609375,0.0007171817705966532,54.99355202996594,0.015304801324309166,24.642665493688583,0.005686572124986089
19,1675.696533203125,1748.528076171875,0.060300156474113464,130.32703810509932,0.026751632527513287,140.95614996845282,0.025724665259868187
20,2185.83935546875,2154.16455078125,0.08231403678655624,212.2303281147131,0.03362327647592622,218.7500593145987,0.032394136897376406
21,2668.122314453125,2617.494873046875,0.09181883186101913,225.93633656731126,0.029356368507091023,302.80904687261426,0.03709827511468904
22,3118.914306640625,3045.82177734375,0.09117499738931656,282.058915628591,0.03114174497605346,333.4443086193101,0.033630270053846355
