layer,sv_rank_1based,gatedness_ratio,total_gain,invariant_gain
0,1,-0.9897520656925778,26091.051635121818,2545981.546371367
0,2,-0.9124596480508417,15166.5265103799,173251.8338421758
0,3,-0.72038355935554,24660.24227624951,88193.10559641257
0,4,-0.7913953973199811,15431.13438058388,73973.12514841053
0,5,-0.4997458707416651,19493.17960485725,38966.5541267189
0,6,0.4646209792055594,48372.3529669067,33027.21567811262
0,7,-0.09717093530233128,22721.88076917891,25167.422779846896
0,8,0.9360973949067724,46045.97567669473,23782.881893144495
0,9,0.46453004570992196,26738.19402739334,18257.183664972308
0,10,0.3166423873465562,21324.062268902293,16195.78898099902
0,11,1.1797116672806554,32453.033098976786,14888.681648185518
0,12,0.07250609080450196,14404.313930453358,13430.51946646677
0,13,0.5133005019065736,19427.64218540974,12837.927537148618
0,14,0.9318334675823075,21463.557351055835,11110.459421699998
0,15,1.3427783366375063,24551.962407105486,10479.848657958511
0,16,1.1507922566445334,20945.187657366707,9738.359245371257
0,17,1.573066578838704,22668.48087308071,8809.908402492532
0,18,3.1030736535224053,31153.427605792273,7592.70494182992
0,19,2.7756104050822836,27767.69153084962,7354.490678771369
0,20,2.2352577484573524,22553.479343818814,6971.153798974717
0,21,1.4646761087058697,15479.208202841048,6280.422871048583
0,22,2.0745218620785058,18759.97488376635,6101.753614164538
0,23,3.04785363864153,22105.62616946535,5461.073483102955
0,24,2.246897445574819,17535.090686699594,5400.568074794062
0,25,3.1675399495691856,20607.31731188597,4944.719801430239
0,26,3.671534658257609,22327.40974078794,4779.459294243094
0,27,9.710852637844242,48289.297603720275,4508.445707963683
0,28,5.98323779213709,29355.415067708465,4203.696901280404
0,29,3.4216560614674236,18058.308596716815,4084.059986954959
0,30,4.049368323197731,19785.033636902783,3918.318563929987
0,31,4.044878770093233,19032.198412130234,3772.577950724044
0,32,8.028847481107428,32708.946297242084,3622.715564271646
0,33,3.473392519807999,15850.609608993846,3543.308470877135
0,34,4.880621821870384,19474.067501278147,3311.5660369198613
0,35,6.122045338457232,23057.068559571064,3237.4223223586687
0,36,2.5077147385123206,11088.42028138856,3161.1522338590007
0,37,5.300781655317691,19758.516606327896,3135.8834010146497
0,38,6.472080035206212,22373.573138609085,2994.2898139733115
0,39,5.3497613335735705,18297.50867860899,2881.60573561451
0,40,4.979759594090635,16451.69448420071,2751.230082971695
0,41,5.14263630470362,16177.11570232649,2633.578629739077
0,42,6.779011035881392,19541.18448912667,2512.039692319618
0,43,4.254842069041602,12989.449028829247,2471.9009359682113
0,44,8.163624933027808,22066.1593342251,2408.0164231398994
0,45,6.038099375727691,16374.354769550297,2326.530771364216
0,46,6.648022214355272,17490.30491113746,2286.9056104869605
0,47,7.9271157843431705,19895.45443468134,2228.6542389842098
0,48,6.447531400804019,16245.630549310436,2181.34435090219
0,49,6.733708486055964,16444.145154082402,2126.2949313041513
0,50,6.590308841856157,15896.69693015675,2094.3412529535435
0,51,7.108892199979982,16460.923984789457,2029.9843158390586
0,52,9.818729920865204,21152.051199098776,1955.132566744616
0,53,8.945212352093833,19198.88114332996,1930.4646762306807
0,54,8.664573707497851,18399.691008145215,1903.8285148439095
0,55,9.110739307552079,18828.649662974098,1862.242620468745
0,56,5.495718446565928,11926.67379702315,1836.0823202442784
0,57,6.370061212511986,13307.177815914154,1805.572224193099
0,58,7.6109888208529455,15019.16029961251,1744.1853208822938
0,59,5.757269575364036,11669.837152270942,1727.0048237853784
0,60,6.952857709136264,13539.346591984198,1702.4505010858427
0,61,5.808917595432587,10868.077576676957,1596.1534890606085
0,62,6.585399333658303,11883.512180224192,1566.6297392539311
0,63,9.596806893662153,16151.713241738402,1524.2056785424852
0,64,6.376723917272992,11110.604171785224,1506.1705299515302
1,1,-0.991044493879885,11863.987079999622,1324770.138155675
1,2,-0.9121419810052148,8936.007978546762,101709.64563949648
1,3,-0.588360747240142,15725.267041741354,38201.57318892809
1,4,-0.5638763374892043,8764.081452459282,20095.40459695431
1,5,-0.17642242269853203,13705.299141549447,16641.175669759956
1,6,0.2888582967687604,15446.630016021561,11984.738783731947
1,7,0.13173533719466196,12751.526285808053,11267.233483596741
1,8,0.6125872820853956,16200.503052077418,10046.27980888445
1,9,-0.017931204098772583,8815.325237599962,8976.280759953344
1,10,0.47278672410519273,10642.034259967892,7225.780953744436
1,11,-0.00820877695954547,6881.5654962225135,6938.522278031411
1,12,0.8767565594078552,11721.392704024143,6245.558405146759
1,13,0.531731225651903,8737.519327080148,5704.342368134662
1,14,1.4943220766062915,12240.252062114434,4907.246011616623
1,15,0.76359819442136,8142.510607044871,4616.98738000591
1,16,1.6670232481936265,11670.913242895724,4376.007314822536
1,17,2.712160746357714,14882.287407530417,4009.063298816623
1,18,1.3955995608430132,8453.896228261114,3528.9271072025213
1,19,1.7190511475576964,8868.515968677326,3261.6216052582627
1,20,1.3478515645938474,6742.819994121573,2871.910684561462
1,21,3.168154874814938,11342.853417362825,2721.3128489777055
1,22,1.523609291420967,6772.118738745224,2683.5052326711557
1,23,1.4792013598001845,5965.0594067575785,2406.040712739089
1,24,3.52208326049378,10328.448883295217,2284.0023697767356
1,25,2.315402289023936,7181.638085013729,2166.1437915966344
1,26,4.758402848336912,11891.663421845446,2065.0975166279577
1,27,4.956570977600157,12048.585902625877,2022.7385769320776
1,28,2.8563708500358342,6940.920783980785,1799.8582226385038
1,29,8.344598372401213,16092.024347573772,1722.0669852542082
1,30,4.026520074177357,8174.867136351914,1626.3472572900218
1,31,3.0063289846089063,6363.187847090503,1588.2839056741568
1,32,6.304704842257509,11118.323400052106,1522.0770229798893
1,33,2.8787068824201314,5750.610128656401,1482.610133475242
1,34,3.0856489010560724,5849.507688727309,1431.720598217921
1,35,2.4969843462021624,4903.363193345896,1402.1690427843703
1,36,7.807918017690818,11760.438993089218,1335.2121317962974
1,37,2.314364542641597,4365.296270661905,1317.0839280044806
1,38,3.474922824500958,5719.935071011858,1278.2198253105491
1,39,2.3471455414826865,4266.78827712005,1274.754331486334
1,40,4.798596532485275,7260.268664058907,1252.0734324910004
1,41,4.271927715252868,6400.071138108225,1213.9906849619172
1,42,2.9159302907939133,4495.203175941423,1147.9272719713622
1,43,4.444309156990242,6167.358138207668,1132.8082150311475
1,44,4.731863539156559,6246.5524009718065,1089.7943327332764
1,45,4.518596954373245,5859.002333784827,1061.6833195514205
1,46,5.374512965772063,6559.486552695036,1029.0176814945091
1,47,6.129383810497495,7226.343427522941,1013.599999607715
1,48,5.9466510238553205,6718.874230417971,967.2105605052012
1,49,6.753125225850225,7270.053254311226,937.693258206601
1,50,4.047934400885438,4616.906053882043,914.6129262440512
1,51,5.078659805223486,5409.843057380377,889.9729925224342
1,52,5.09181913549673,5373.1543275452905,882.0278816611556
1,53,3.8794703872035536,4209.71685144894,862.7405266131777
1,54,5.923493226602044,5917.223370970632,854.6586495145989
1,55,8.680198000838072,8064.012022073461,833.0420536208264
1,56,5.089296192340453,4938.6344755600085,811.035351141652
1,57,5.816877030947441,5369.327881736477,787.6521546978574
1,58,10.353240794714806,8907.737761306058,784.5986817659505
1,59,5.752408574925023,5149.610770605501,762.6331720697315
1,60,7.796670580503719,6565.396430906741,746.3501526881957
1,61,4.932694390724895,4365.201173366163,735.7872976216099
1,62,6.906519345548693,5732.480269623121,725.0320930221797
1,63,4.645124757611445,4028.943433073158,713.7031697379578
1,64,6.795854755839298,5319.708955870102,682.3766119918539
2,1,-0.9937520477921077,7122.449599028338,1139965.4418019839
2,2,-0.8889845608761717,9865.525735390367,88866.24971492638
