source_layer,target_layer,layer_distance,k,exact_rank_best_match_rate,chance_exact_rate_1_over_k,exact_rate_over_chance,reciprocal_exact_rank_rate,mean_same_rank_abs_cosine,median_same_rank_abs_cosine,min_same_rank_abs_cosine,max_same_rank_abs_cosine,mean_best_abs_cosine,mean_same_rank_fraction_of_best,mean_same_rank_deficit_from_best,mean_offdiag_abs_cosine,diagonal_to_offdiag_ratio,same_rank_raw_sign_flip_rate,mean_abs_rank_offset_of_best,median_abs_rank_offset_of_best,null_diag_mean,null_diag_std,diag_perm_p,null_exact_rate_mean,null_exact_rate_std,exact_perm_p
0,1,1,64,0.09375,0.015625,6.0,0.09375,0.14281076386770736,0.11121638564352775,0.001199004166020477,0.726901785953581,0.31283418190563345,0.43026560444370265,0.17002341803792606,0.05226516777300959,2.7324271585225195,0.515625,5.71875,4.0,0.05373179087594812,0.007731447257877833,0.0004997501249375312,0.01609375,0.01568429220425564,0.0024987506246876563
0,2,2,64,0.046875,0.015625,3.0,0.03125,0.08970465356003346,0.06252639860598247,0.003467329734037899,0.6006015623174443,0.2560202611105276,0.31433700527767533,0.16631560755049418,0.046444961469914385,1.9314184083916481,0.484375,8.8125,7.0,0.04722859236027244,0.006131275175603405,0.0004997501249375312,0.0156484375,0.015116456562322866,0.07646176911544228
0,3,3,64,0.078125,0.015625,5.0,0.078125,0.08591084001244988,0.05861682386162349,0.00036112086464538777,0.46564871466558394,0.20535745667553262,0.3864040802333401,0.11944661666308276,0.038803695591397985,2.213986031564855,0.671875,11.875,8.0,0.03958391080843674,0.004832078783238849,0.0004997501249375312,0.0156015625,0.015538763949833272,0.0029985007496251873
0,4,4,64,0.0625,0.015625,4.0,0.0625,0.07045186188710141,0.04114652434724246,0.0037554640679351363,0.3789298263189699,0.17765987096652897,0.36088652131885945,0.10720800907942754,0.03541679976419795,1.9892215659281454,0.515625,13.015625,9.5,0.03591979382198975,0.004230409254950848,0.0004997501249375312,0.015875,0.016012912381308586,0.02148925537231384
0,5,5,64,0.09375,0.015625,6.0,0.0625,0.06117975656188862,0.04206163693980885,0.00023547864624734352,0.31081800332269016,0.14012466724539357,0.4068752456618674,0.07894491068350497,0.03205012952614097,1.9088770456290582,0.4375,16.203125,9.5,0.03255090072844172,0.0036352179713771892,0.0004997501249375312,0.0159375,0.01606511837457772,0.0014992503748125937
0,6,6,64,0.0625,0.015625,4.0,0.046875,0.05040908802832628,0.033006538239919656,0.0012461370413880905,0.27807550900372935,0.13414047003814228,0.35399928053552726,0.083731382009816,0.029976205227640218,1.6816367397246623,0.421875,16.609375,10.0,0.030214143668933467,0.0032914877596646533,0.0004997501249375312,0.015484375,0.015264563023602273,0.01899050474762619
0,7,7,64,0.09375,0.015625,6.0,0.0625,0.04767957349906576,0.03676251482236552,0.0011320583516378963,0.2399969536701259,0.11954841350100973,0.39220002255997355,0.07186884000194396,0.027636561930807914,1.7252353465108428,0.515625,20.203125,15.0,0.027911016995007164,0.003007521665387162,0.0004997501249375312,0.0150546875,0.014629256634042487,0.0009995002498750624
0,8,8,64,0.09375,0.015625,6.0,0.046875,0.04010424036656591,0.02793021058803674,0.00020667204820854943,0.16690936060275102,0.1089853327465084,0.3731779836719456,0.0688810923799425,0.02578090586622728,1.5555791784299577,0.53125,20.71875,11.5,0.026046046468028532,0.0026894574288009584,0.0004997501249375312,0.015984375,0.015276975489259147,0.0004997501249375312
0,9,9,64,0.046875,0.015625,3.0,0.03125,0.02006754451605053,0.01348912456889425,5.089279679853327e-05,0.13117890987349834,0.08698990855853544,0.2531795963713883,0.06692236404248492,0.019203920891717397,1.0449712133893245,0.4375,26.53125,25.5,0.019214476125093416,0.0020512103703146335,0.335832083958021,0.0153125,0.014565940758842015,0.06796601699150424
0,10,10,64,0.015625,0.015625,1.0,0.015625,0.0171497695413527,0.012939429251790341,0.0005368552259983085,0.10349414542364563,0.08628147919628937,0.2306747347190883,0.06913170965493665,0.017766208762961942,0.9653027142800235,0.5,26.515625,27.5,0.017807937542718047,0.0019652095630890085,0.6046976511744128,0.0155703125,0.01512445301918084,0.6491754122938531
0,11,11,64,0.046875,0.015625,3.0,0.015625,0.016581353772508085,0.011342362329711194,0.0002382174152754942,0.11652229933525868,0.08553644704420857,0.23241196193456443,0.06895509327170048,0.016707353033435943,0.9924584546291864,0.484375,26.015625,26.5,0.01673376731992405,0.0018844510827042398,0.512743628185907,0.0158828125,0.015154623777522913,0.08195902048975512
0,12,12,64,0.046875,0.015625,3.0,0.015625,0.016619566058187908,0.010756014722339441,0.00016871231246805784,0.11394649421570521,0.08614731252628208,0.2314909590646788,0.06952774646809418,0.01643377511308879,1.01130543309864,0.546875,26.171875,26.5,0.0164594493092913,0.0019097107433116173,0.4447776111944028,0.0158671875,0.015122611785698733,0.07496251874062969
0,13,13,64,0.03125,0.015625,2.0,0.015625,0.014504620503114013,0.010193065692447111,2.8771541356656144e-05,0.06953773152700704,0.08335729868163974,0.2069090912152603,0.06885267817852574,0.015977059997339314,0.9078403977658901,0.5,26.71875,27.5,0.016006533929804015,0.0018209480525185253,0.7841079460269865,0.01534375,0.014558191213306742,0.2513743128435782
0,14,14,64,0.03125,0.015625,2.0,0.0,0.014012868762471844,0.010924740091729552,0.00012993070897393782,0.050616622666879815,0.08284783333261239,0.20685922302367704,0.06883496457014056,0.015765619652100313,0.8888244846503724,0.5625,26.984375,28.0,0.015724313390945776,0.0017536956000785706,0.8300849575212393,0.0158671875,0.015033512460526121,0.2733633183408296
0,15,15,64,0.015625,0.015625,1.0,0.0,0.011857983941041235,0.009408868340158211,0.0003111071391772081,0.05011375237506115,0.08247860555418599,0.18046227024543482,0.07062062161314475,0.01544434966755296,0.7677878445055979,0.578125,27.015625,26.5,0.015377676653870838,0.001766861722189503,0.9805097451274363,0.0158203125,0.014944568399661792,0.6581709145427287
0,16,16,64,0.0,0.015625,0.0,0.0,0.010830560090306869,0.008679035099775986,2.9217126476903388e-06,0.03867953589330671,0.08200762578753774,0.17410653109585567,0.07117706569723087,0.015179860169527867,0.7134822040092433,0.5625,27.5,27.0,0.015139695535101931,0.001747975429759505,0.9970014992503748,0.0152734375,0.01486796112047761,1.0
0,17,17,64,0.015625,0.015625,1.0,0.0,0.01262831279951128,0.009384749338125338,0.00027821934211966735,0.041687338790281366,0.08231956676770905,0.20830910531227334,0.06969125396819778,0.014857359753473737,0.8499701837373027,0.5625,28.28125,30.0,0.014837711157040013,0.001716317334983612,0.9060469765117442,0.0159375,0.014649548039235783,0.6671664167916042
0,18,18,64,0.015625,0.015625,1.0,0.0,0.011264257525963326,0.0099859767334009,0.0001668806140457971,0.04016368714734522,0.08183280238090512,0.17905313605364204,0.07056854485494181,0.014801331635751749,0.7610300075133222,0.484375,28.265625,30.0,0.014778463522818558,0.0018142877722816086,0.984007996001999,0.015875,0.014675735751911384,0.6686656671664168
0,19,19,64,0.015625,0.015625,1.0,0.0,0.01176708102363615,0.008418379766900014,0.0002808795911567502,0.054545092016047174,0.07673189385635693,0.18606130929415698,0.06496481283272076,0.014679255195700538,0.8016129474390945,0.5,27.234375,28.0,0.014587443400173638,0.0017234914286009873,0.9645177411294353,0.0151640625,0.014566190202214762,0.6381809095452274
0,20,20,64,0.0,0.015625,0.0,0.0,0.013084934064370737,0.011089915922427631,0.00010673793732629338,0.03889970981562157,0.06125572092035585,0.23441248317914498,0.048170786855985116,0.014582626200927352,0.8972961306200544,0.46875,23.03125,20.5,0.014541475666475727,0.0016110755030445002,0.809095452273863,0.016109375,0.015080389664580715,1.0
0,21,21,64,0.03125,0.015625,2.0,0.0,0.011772248025619242,0.010462867727083389,0.00024654671470279374,0.0405404342038439,0.04464974957918523,0.28760033215449143,0.03287750155356599,0.01176306268344765,1.0007808631492303,0.53125,25.28125,22.5,0.011743765361320999,0.0012279219741286815,0.48425787106446777,0.01546875,0.015463143671925488,0.26036981509245377
