layer,sv_index_zero_based,sv_rank,sv_label,singular_value,gap_to_higher_rank,gap_to_lower_rank,local_gap,relative_local_gap
0,0,0,SV00,1595.613525390625,,1179.3782348632812,1179.3782348632812,0.7391377774731231
0,1,1,SV01,416.23529052734375,1179.3782348632812,119.26199340820312,119.26199340820312,0.286525424735384
0,2,2,SV02,296.9732971191406,119.26199340820312,24.993194580078125,24.993194580078125,0.0841597369949773
0,3,3,SV03,271.9801025390625,24.993194580078125,74.58058166503906,24.993194580078125,0.0918934670101043
0,4,4,SV04,197.39952087402344,74.58058166503906,15.665695190429688,15.665695190429688,0.07936035062834439
0,5,5,SV05,181.73382568359375,15.665695190429688,23.0914306640625,15.665695190429688,0.08620131740199165
0,6,6,SV06,158.64239501953125,23.0914306640625,4.42547607421875,4.42547607421875,0.027895923240908633
0,7,7,SV07,154.2169189453125,4.42547607421875,19.097854614257812,4.42547607421875,0.028696436840293032
0,8,8,SV08,135.1190643310547,19.097854614257812,7.856376647949219,7.856376647949219,0.05814410192110524
0,9,9,SV09,127.26268768310547,7.856376647949219,5.2435760498046875,5.2435760498046875,0.041202776283191675
0,10,10,SV10,122.01911163330078,5.2435760498046875,6.1290435791015625,5.2435760498046875,0.04297339965531793
0,11,11,SV11,115.89006805419922,6.1290435791015625,2.5855026245117188,2.5855026245117188,0.022309958635131154
0,12,12,SV12,113.3045654296875,2.5855026245117188,7.89837646484375,2.5855026245117188,0.022819050712622725
0,13,13,SV13,105.40618896484375,7.89837646484375,3.0350570678710938,3.0350570678710938,0.028793917109396487
0,14,14,SV14,102.37113189697266,3.0350570678710938,3.688018798828125,3.0350570678710938,0.029647587280031307
0,15,15,SV15,98.68311309814453,3.688018798828125,4.821983337402344,3.688018798828125,0.03737233943116726
0,16,16,SV16,93.86112976074219,4.821983337402344,6.725006103515625,4.821983337402344,0.05137359149302674
0,17,17,SV17,87.13612365722656,6.725006103515625,1.3778228759765625,1.3778228759765625,0.015812303992275355
0,18,18,SV18,85.75830078125,1.3778228759765625,2.2648696899414062,1.3778228759765625,0.016066350002562162
0,19,19,SV19,83.4934310913086,2.2648696899414062,4.2443084716796875,2.2648696899414062,0.027126321919439866
0,20,20,SV20,79.2491226196289,4.2443084716796875,1.1354293823242188,1.1354293823242188,0.014327343253677722
0,21,21,SV21,78.11369323730469,1.1354293823242188,4.2146759033203125,1.1354293823242188,0.014535599781140201
0,22,22,SV22,73.89901733398438,4.2146759033203125,0.4104766845703125,0.4104766845703125,0.005554562149523255
0,23,23,SV23,73.48854064941406,0.4104766845703125,3.169952392578125,0.4104766845703125,0.00558558764322918
0,24,24,SV24,70.31858825683594,3.169952392578125,1.1850814819335938,1.1850814819335938,0.01685303290795784
0,25,25,SV25,69.13350677490234,1.1850814819335938,1.9886703491210938,1.1850814819335938,0.017141926356957434
0,26,26,SV26,67.14483642578125,1.9886703491210938,2.3097152709960938,1.9886703491210938,0.029617621472937485
0,27,27,SV27,64.83512115478516,2.3097152709960938,0.9289627075195312,0.9289627075195312,0.014328078531722913
