source_layer,target_layer,layer_distance,source_sv_index_zero_based,source_sv_rank,source_sv_label,target_same_rank_sv_label,same_rank_signed_cosine,same_rank_abs_cosine,same_rank_sign_flipped,best_target_sv_index_zero_based,best_target_sv_rank,best_target_sv_label,best_signed_cosine,best_abs_cosine,second_best_abs_cosine,best_match_margin,same_rank_is_best,best_match_is_reciprocal,rank_offset_zero_based,abs_rank_offset,same_rank_fraction_of_best,same_rank_deficit_from_best,source_singular_value,same_rank_target_singular_value,best_target_singular_value,source_relative_local_gap,same_rank_target_relative_local_gap,best_target_relative_local_gap,pair_min_same_rank_relative_gap,pair_mean_same_rank_relative_gap
0,1,1,0,0,SV00,SV00,-0.6518289552950172,0.6518289552950172,1,0,0,SV00,-0.6518289552950172,0.6518289552950172,0.046500151331556216,0.605328803963461,1,1,0,0,1.0,0.0,1595.613525390625,1150.986572265625,1150.986572265625,0.7391377774731231,0.7229164337829236,0.7229164337829236,0.7229164337829236,0.7310271056280233
0,1,1,1,1,SV01,SV01,-0.726901785953581,0.726901785953581,1,1,1,SV01,-0.726901785953581,0.726901785953581,0.07280167292965195,0.654100113023929,1,1,0,0,1.0,0.0,416.23529052734375,318.9194641113281,318.9194641113281,0.286525424735384,0.3871420419960933,0.3871420419960933,0.286525424735384,0.33683373336573863
0,1,1,2,2,SV02,SV02,0.15099551958020313,0.15099551958020313,0,3,3,SV03,-0.27612055958736725,0.27612055958736725,0.19926920372624757,0.07685135586111969,0,0,1,1,0.5468463478628677,0.12512504000716412,296.9732971191406,195.45233154296875,141.7582244873047,0.0841597369949773,0.27471714781698475,0.08999569118949972,0.0841597369949773,0.17943844240598103
0,1,1,3,3,SV03,SV03,0.09185037220719684,0.09185037220719684,0,2,2,SV02,0.6444284677066718,0.6444284677066718,0.1206434618660817,0.5237850058405902,0,1,-1,1,0.14252997316221122,0.552578095499475,271.9801025390625,141.7582244873047,195.45233154296875,0.0918934670101043,0.08999569118949972,0.27471714781698475,0.08999569118949972,0.09094457909980201
0,1,1,4,4,SV04,SV04,-0.02778394162596132,0.02778394162596132,1,3,3,SV03,0.4386175071343589,0.4386175071343589,0.27035366180274584,0.16826384533161304,0,1,-1,1,0.06334435168236557,0.41083356550839756,197.39952087402344,129.00059509277344,141.7582244873047,0.07936035062834439,0.09889589567673186,0.08999569118949972,0.07936035062834439,0.08912812315253812
0,1,1,5,5,SV05,SV05,-0.22412937448299464,0.22412937448299464,1,4,4,SV04,-0.3638916477976096,0.3638916477976096,0.22412937448299464,0.13976227331461494,0,0,-1,1,0.6159233822471563,0.13976227331461494,181.73382568359375,109.47479248046875,129.00059509277344,0.08620131740199165,0.03039658291681418,0.09889589567673186,0.03039658291681418,0.05829895015940291
0,1,1,6,6,SV06,SV06,-0.11856140401014403,0.11856140401014403,1,4,4,SV04,0.5099034017047003,0.5099034017047003,0.32282353259168256,0.18707986911301772,0,1,-2,2,0.2325173819467993,0.39134199769455624,158.64239501953125,106.14713287353516,129.00059509277344,0.027895923240908633,0.031349500611554,0.09889589567673186,0.027895923240908633,0.029622711926231317
0,1,1,7,7,SV07,SV07,-0.20923758216757243,0.20923758216757243,1,4,4,SV04,0.46039709363666925,0.46039709363666925,0.20923758216757243,0.2511595114690968,0,0,-3,3,0.45447198746370904,0.2511595114690968,154.2169189453125,100.23114776611328,129.00059509277344,0.028696436840293032,0.054752286527639166,0.09889589567673186,0.028696436840293032,0.0417243616839661
0,1,1,8,8,SV08,SV08,-0.504677919223602,0.504677919223602,1,8,8,SV08,-0.504677919223602,0.504677919223602,0.1941862906683134,0.31049162855528856,1,1,0,0,1.0,0.0,135.1190643310547,94.7432632446289,94.7432632446289,0.05814410192110524,0.05792374395332524,0.05792374395332524,0.05792374395332524,0.05803392293721524
0,1,1,9,9,SV09,SV09,-0.4507891088749968,0.4507891088749968,1,9,9,SV09,-0.4507891088749968,0.4507891088749968,0.26049572241841523,0.19029338645658156,1,1,0,0,1.0,0.0,127.26268768310547,85.00455474853516,85.00455474853516,0.041202776283191675,0.020078951924555256,0.020078951924555256,0.020078951924555256,0.030640864103873466
0,1,1,10,10,SV10,SV10,0.19364874528960863,0.19364874528960863,0,7,7,SV07,0.34648727705724724,0.34648727705724724,0.3143038441778294,0.03218343287941783,0,0,-3,3,0.558891359400806,0.15283853176763862,122.01911163330078,83.2977523803711,100.23114776611328,0.04297339965531793,0.02049037722374687,0.054752286527639166,0.02049037722374687,0.031731888439532396
0,1,1,11,11,SV11,SV11,-0.14319708185454483,0.14319708185454483,1,7,7,SV07,0.40141528785756014,0.40141528785756014,0.3556563044605823,0.04575898339697787,0,1,-4,4,0.35673051372512116,0.2582182060030153,115.89006805419922,79.02884674072266,100.23114776611328,0.022309958635131154,0.04431021611398364,0.054752286527639166,0.022309958635131154,0.0333100873745574
0,1,1,12,12,SV12,SV12,-0.2218993443957309,0.2218993443957309,1,7,7,SV07,0.3210497759696525,0.3210497759696525,0.2549774188813567,0.06607235708829579,0,0,-5,5,0.6911680399886219,0.09915043157392162,113.3045654296875,75.52706146240234,100.23114776611328,0.022819050712622725,0.046364643486937654,0.054752286527639166,0.022819050712622725,0.03459184709978019
0,1,1,13,13,SV13,SV13,-0.05697486521945571,0.05697486521945571,1,11,11,SV11,0.3706634390806077,0.3706634390806077,0.2855643067087424,0.08509913237186534,0,1,-2,2,0.15371050719427834,0.313688573861152,105.40618896484375,70.05171203613281,79.02884674072266,0.028793917109396487,0.030025099604457418,0.04431021611398364,0.028793917109396487,0.029409508356926954
