layer,sv_rank_1based,gatedness_ratio,total_gain,invariant_gain
0,1,-0.9891008058486229,27749.147179728538,2545981.546371367
0,2,-0.9053225958298414,16403.033895897046,173251.8338421758
0,3,-0.6854787932614279,27738.60199820848,88193.10559641257
0,4,-0.7726249622759699,16819.642121186003,73973.12514841053
0,5,-0.42348394103886117,22464.84421643328,38966.5541267189
0,6,0.7297291944304377,57128.13916917938,33027.21567811262
0,7,-0.00477019060471671,25047.36937615712,25167.422779846896
0,8,1.1598815518632408,51368.207851153995,23782.881893144495
0,9,0.6197716254485924,29572.468061126205,18257.183664972308
0,10,0.31341791221447746,21271.83935008863,16195.78898099902
0,11,1.2786361985352868,33925.88895201842,14888.681648185518
0,12,0.2098503828800326,16248.919118783073,13430.51946646677
0,13,0.6038742255126281,20590.421085830705,12837.927537148618
0,14,1.0494159001317807,22769.952196604285,11110.459421699998
0,15,1.701274520193244,28308.948155227044,10479.848657958511
0,16,1.3271100610904094,22662.233778416077,9738.359245371257
0,17,1.556058476677863,22518.641050946968,8809.908402492532
0,18,3.6762139743845776,35505.11295236419,7592.70494182992
0,19,3.2490235690646063,31249.404232565925,7354.490678771369
0,20,2.7663683804427026,26255.933243661464,6971.153798974717
0,21,1.5973614815965704,16312.528453398067,6280.422871048583
0,22,2.2802210837939807,20015.10085329746,6101.753614164538
0,23,3.423620394603804,24157.716036284703,5461.073483102955
0,24,2.418772690423402,18463.314646880568,5400.568074794062
0,25,3.514036848453136,22320.647388931127,4944.719801430239
0,26,4.611158717935739,26818.304685915013,4779.459294243094
0,27,10.396990349647842,51382.71222557383,4508.445707963683
0,28,6.693935073313268,32342.971026336687,4203.696901280404
0,29,3.740663640829929,19361.15468712539,4084.059986954959
0,30,4.541243088269695,21712.355660017627,3918.318563929987
0,31,4.601856977843262,21133.442117720602,3772.577950724044
0,32,9.180539827506458,36881.20008579343,3622.715564271646
0,33,3.903370697196929,17374.15492722953,3543.308470877135
0,34,5.238857253487793,20660.38778983939,3311.5660369198613
0,35,6.273253397942956,23546.5929066726,3237.4223223586687
0,36,3.000675044201587,12646.742852922014,3161.1522338590007
0,37,5.694034627337617,20991.712073684266,3135.8834010146497
0,38,7.58895396535225,25717.81737114024,2994.2898139733115
0,39,5.548204977516893,18869.345021195182,2881.60573561451
0,40,5.438591959897466,17714.047892048267,2751.230082971695
0,41,5.659227826007199,17537.60009313853,2633.578629739077
0,42,7.640142491908168,21704.380886973526,2512.039692319618
0,43,4.460493760115546,13497.799636475525,2471.9009359682113
0,44,7.895979645447517,21421.665086157936,2408.0164231398994
0,45,6.864741174341183,18297.56235091972,2326.530771364216
0,46,7.104068116237655,18533.238842793282,2286.9056104869605
0,47,9.518189333948124,23441.40724554206,2228.6542389842098
0,48,6.13965384954545,15574.04359210121,2181.34435090219
0,49,6.831309657679829,16651.674030596863,2126.2949313041513
0,50,7.30043057976786,17383.934180484324,2094.3412529535435
0,51,8.15436198997565,18583.211261166838,2029.9843158390586
0,52,10.779836027943617,23031.141049146976,1955.132566744616
0,53,10.784848657125764,22750.234047306614,1930.4646762306807
0,54,8.872856026840859,18796.224826847778,1903.8285148439095
0,55,9.807207075264575,20125.641623790943,1862.242620468745
0,56,5.734068106284831,12364.303393270862,1836.0823202442784
0,57,6.654132550633664,13820.089133713795,1805.572224193099
0,58,8.486819737503048,16546.77172800886,1744.1853208822938
0,59,6.195966906976865,12427.469560148003,1727.0048237853784
0,60,7.767584225620947,14926.378158221014,1702.4505010858427
0,61,6.473124668761051,11928.254014229467,1596.1534890606085
0,62,7.300388757622279,13003.63587505883,1566.6297392539311
0,63,10.269440274193872,17176.944859921176,1524.2056785424852
0,64,6.606612906104062,11456.856191922358,1506.1705299515302
1,1,-0.990579449683322,12480.063744527431,1324770.138155675
1,2,-0.9071527709115338,9443.458769196459,101709.64563949648
1,3,-0.5467884343164575,17313.394796529854,38201.57318892809
1,4,-0.5747166702453629,8546.240579759518,20095.40459695431
1,5,-0.08433334380510084,15237.769680682126,16641.175669759956
1,6,0.3292029430436547,15930.150062945793,11984.738783731947
1,7,0.28912439433535597,14524.865540376928,11267.233483596741
1,8,0.8587881292360934,18673.9056517378,10046.27980888445
1,9,0.07050206543878064,9609.127093486351,8976.280759953344
1,10,0.5510420117092154,11207.489826666766,7225.780953744436
1,11,0.019480123343171906,7073.685547826335,6938.522278031411
1,12,0.996730941314255,12470.699713341302,6245.558405146759
1,13,0.6976600739931434,9684.034286770186,5704.342368134662
1,14,1.6683450596226785,13094.225651450864,4907.246011616623
1,15,0.8861155951343648,8708.171899967618,4616.98738000591
1,16,1.595387685698601,11357.435497416987,4376.007314822536
1,17,2.7307913805595905,14956.978799342505,4009.063298816623
1,18,1.487550257925656,8778.38353572147,3528.9271072025213
